Species	Gene	Gene_symbol	Start	End	Strand	Class	gene_family_symbol	in_palindrome	palindrome_name	cluster
PanPan	MAGE family member A4	MAGEA4	151982412	151993328	+	ANCESTRAL	MAGEB18	no		MAGEA1
PanPan	MAGE family member A10	MAGEA10	152196292	152201536	-	ANCESTRAL	MAGEB18	no		MAGEA10
PanPan	MAGE family member A2B	MAGEA2B	152805185	152806144	-	AMPLICONIC	MAGEB18	yes	Q24B	MAGEA2
PanPan	PNMA family member 5	PNMA5	153053179	153059368	-	ANCESTRAL	PNMA6E	no		PNMA5
PanPan	PNMA family member 3	PNMA3	153121568	153125586	+	ANCESTRAL	PNMA6E	no		PNMA3
PanPan	MAGE family member A1	MAGEA1	153220909	153222404	+	ANCESTRAL	MAGEB18	no		MAGEA1
PanPan	PNMA family member 6F	PNMA6F	153357052	153361265	-	ANCESTRAL	PNMA6E	no		PNMA6F
PanPan	testis expressed 28	TEX28	154198772	154226114	-	ANCESTRAL	TEX28	no		TEX28
PanPan	L antigen family member 3	LAGE3	154452148	154454230	-	ANCESTRAL	LAGE3	no		LAGE3
PanPan	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	IKBKG	154521470	154539144	+	ANCESTRAL	IKBKG	no		IKBKG
PanPan	coagulation factor VIII	F8	154815145	155000578	-	ANCESTRAL	F8A2	no		F8
PanPan	coagulation factor VIII associated 1	F8A1	154865113	154866796	+	ANCESTRAL	F8A2	no		F8A3
PanPan	MAGE family member B6B	MAGEB6B	27962650	27965590	+	ANCESTRAL	MAGEB18	no		MAGEB6
PanPan	MAGE family member B6	MAGEB6	27995598	27998712	+	ANCESTRAL	MAGEB18	no		MAGEB6
PanPan	SSX family member 4B	SSX4B	49890790	49903720	-	AMPLICONIC	SSX4B	yes	Q3B	SSX3
PanPan	centromere protein V like 2	CENPVL2	53068949	53070631	-	AMPLICONIC	CENPVL2	yes	Q4A	CENPVL3
PanPan	DMRT like family C1	DMRTC1	72544301	72615644	-	AMPLICONIC	DMRTC1B	yes	Q12.2B	DMRTC1
PanPan	family with sequence similarity 236 member C	FAM236C	72584247	72585141	+	AMPLICONIC	FAM236C	yes	Q12.2B	FAM236B
PanPan	RAB40A, member RAS oncogene family	RAB40A	103108179	103197099	-	ANCESTRAL	RAB40A	no		RAB40A
PanPan	Rhox homeobox family member 2	RHOXF2	119476765	119484706	-	AMPLICONIC	RHOXF2B	yes	Q16.3A	RHOXF2
PanPan	cancer/testis antigen family 47 member B1	CT47B1	120428601	120430437	-	ANCESTRAL	CT47C1	no		CT47B1
PanPan	PNMA family member 6A	PNMA6A	153137702	153139662	+	AMPLICONIC	PNMA6E	yes	Q25.1A	PNMA6A
PanPan	coagulation factor VIII associated 3	F8A3	155424397	155426151	-	AMPLICONIC	F8A2	no		F8A3
PanPan	granulocyte-macrophage colony-stimulating factor receptor subunit alpha	LOC129395249	1101459	1191906	+	PAR	CSF2RA	no		CSF2RA
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC117978100	2841925	2842905	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395342	2921179	2922232	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395323	3000521	3001501	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395244	3079548	3080644	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395366	3158938	3159918	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395364	3238211	3239191	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395350	3317479	3318459	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395371	3396767	3397747	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395359	3476045	3477025	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395370	3555311	3556291	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395373	3634356	3635409	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395339	3711682	3714691	+	AMPLICONIC	SPANXA1	no		PanPan_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395358	3792999	3793979	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395331	3872062	3873115	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395305	3951268	3952364	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395268	4030589	4031642	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395336	4109860	4110913	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395266	4188980	4190033	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395349	4268260	4269313	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395326	4347563	4348616	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395360	4426848	4427901	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395329	4506151	4507204	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395325	4585436	4586489	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC117977892	4664529	4665625	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanPan	variable charge X-linked-like	LOC117978595	8069138	8069989	-	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978593	8088603	8522144	-	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC100970257	9387723	9388725	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978598	9472781	10130115	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978431	9718015	9719206	-	AMPLICONIC	VCX2	yes	Q1.1A	VCX
PanPan	variable charge X-linked-like	LOC117978367	9737587	9738426	-	AMPLICONIC	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978565	9765638	9766696	-	AMPLICONIC	VCX2	yes	Q1.2A	VCX
PanPan	variable charge X-linked-like	LOC117978241	9785169	9786008	-	AMPLICONIC	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978111	9813413	9814281	-	AMPLICONIC	VCX2	yes	Q1.3A	VCX
PanPan	variable charge X-linked-like	LOC117978277	9832937	9833779	-	AMPLICONIC	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC129395258	10148068	10148896	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978534	10466669	10467584	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC100979632	10488572	10489538	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117977702	10745258	10746196	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117978073	10766095	10767033	+	ANCESTRAL	VCX2	no		VCX
PanPan	variable charge X-linked-like	LOC117977873	10786687	10787625	+	ANCESTRAL	VCX2	no		VCX
PanPan	melanoma-associated antigen B18	LOC100968952	27941569	27943976	+	ANCESTRAL	MAGEB18	no		MAGEB18
PanPan	melanoma-associated antigen B10	LOC100971349	29608730	29631807	+	ANCESTRAL	MAGEB18	no		MAGEB10
PanPan	melanoma-associated antigen B10-like	LOC100972038	29634104	29635147	+	ANCESTRAL	MAGEB18	no		PanPan_PanTro_PonAbe_PonPyg_cluster1
PanPan	melanoma-associated antigen B4	LOC100995562	32035018	32038004	+	ANCESTRAL	MAGEB18	no		MAGEB4
PanPan	melanoma-associated antigen B1	LOC100995211	32039971	32047560	+	ANCESTRAL	MAGEB18	no		MAGEB1
PanPan	histone H2A-like 3	LOC129395243	38574722	38575102	+	ANCESTRAL	H2AB3	no		PanPan_cluster1
PanPan	endogenous retrovirus group K member 6 Env polyprotein-like	LOC129395330	39000693	39003722	+	ANCESTRAL	endogenous retrovirus group K member 6 Env polyprotein-like	no		PanPan_PanTro_PonPyg_cluster1
PanPan	histone H2A-like 3	LOC129395263	39642285	39643030	+	ANCESTRAL	H2AB3	no		H2AL3
PanPan	protein SSX1	LOC100968671	49726647	49740884	+	ANCESTRAL	SSX4B	no		SSX3
PanPan	protein SSX2-like	LOC100967520	49757833	49768251	-	AMPLICONIC	SSX4B	no		SSX3
PanPan	putative protein SSX9	LOC100968329	49785637	49793738	-	AMPLICONIC	SSX4B	no		SSX3
PanPan	protein SSX3	LOC100995951	49835236	49847459	-	AMPLICONIC	SSX4B	no		SSX3
PanPan	protein SSX4	LOC117974339	49869114	49882052	+	AMPLICONIC	SSX4B	yes	Q3A	SSX3
PanPan	G antigen 10-like	LOC129395423	50796701	50811962	+	ANCESTRAL	GAGE1	no		PanPan_cluster1
PanPan	G antigen 2D	LOC129395422	50816022	50823500	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395424	50825556	50834771	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395254	50835073	50844135	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395252	50844611	50853847	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395245	50854149	50863384	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395256	50863834	50872735	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395261	50873211	50880802	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395260	50882749	50891984	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395267	50892434	50901043	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	G antigen 2D	LOC129395317	50901958	50910267	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395318	50911107	50918828	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395302	50920639	50928354	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395299	50930535	50937883	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395301	50940063	50947411	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395298	50949591	50957960	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395246	50958758	50968278	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395259	50968605	50977811	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395314	50978138	50985547	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395313	50987727	50995889	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395320	50996901	51004623	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395319	51006801	51014293	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 4	LOC129395321	51014664	51025104	+	ANCESTRAL	GAGE1	no		PanPan_cluster2
PanPan	G antigen 1-like	LOC129395322	51025663	51035396	+	ANCESTRAL	GAGE1	no		GAGE1
PanPan	diphosphoinositol polyphosphate phosphohydrolase 3-beta	LOC100977832	52723414	52728453	+	ANCESTRAL	NUDT10	no		NUDT10
PanPan	diphosphoinositol polyphosphate phosphohydrolase 3-beta	LOC100977487	52880742	52887608	-	ANCESTRAL	NUDT10	no		NUDT10
PanPan	centromere protein V-like protein 1	LOC117977700	53099431	53101114	+	AMPLICONIC	CENPVL2	yes	Q4B	CENPVL3
PanPan	putative uncharacterized protein FLJ39060	LOC112438447	53440893	53447338	-	AMPLICONIC	putative uncharacterized protein FLJ39060	yes	Q5A	GorGor_MacFas_PanPan_PanTro_PonAbe_PonPyg_SymSyn_cluster1
PanPan	melanoma-associated antigen D4	LOC100975460	53454937	53462424	-	AMPLICONIC	MAGED1	yes	Q5A	MAGED4
PanPan	melanoma-associated antigen D4	LOC100969655	53577939	53585426	+	AMPLICONIC	MAGED1	yes	Q5B	MAGED4
PanPan	X antigen family member 1	LOC100981334	53879972	53886684	+	AMPLICONIC	XAGE1A	yes	Q6A	PanPan_PanTro_cluster1
PanPan	X antigen family member 1	LOC100980311	53893279	53899988	-	AMPLICONIC	XAGE1A	no		PanPan_PanTro_cluster1
PanPan	X antigen family member 5	LOC103786849	53926317	53939119	+	ANCESTRAL	GAGE1	no		GorGor_PanPan_cluster1
PanPan	putative protein SSX8	LOC100980673	54009112	54020399	+	ANCESTRAL	SSX4B	no		SSX3
PanPan	X antigen family member 5	LOC129395278	54048051	54055068	-	AMPLICONIC	GAGE1	yes	Q7A	XAGE5
PanPan	sperm protein associated with the nucleus on the X chromosome N5	LOC117977560	54068922	54070156	+	AMPLICONIC	SPANXA1	yes	Q7A	SPANXN5_2
PanPan	protein SSX2	LOC100977365	54075984	54117364	-	AMPLICONIC	SSX4B	yes	Q7A	SSX3
PanPan	protein SSX2	LOC129393040	54153539	54168003	+	AMPLICONIC	SSX4B	yes	Q7B	SSX3
PanPan	sperm protein associated with the nucleus on the X chromosome N5	LOC129395289	54202480	54203714	-	AMPLICONIC	SPANXA1	yes	Q7B	SPANXN5_2
PanPan	X antigen family member 5	LOC117977561	54218719	54224497	+	AMPLICONIC	GAGE1	yes	Q7B	XAGE5
PanPan	protein FAM156A/FAM156B	LOC100984122	54292724	54323075	+	AMPLICONIC	FAM156B	yes	Q8A	FAM156B
PanPan	putative G antigen family E member 3	LOC129395309	56485217	56490460	+	ANCESTRAL	GAGE1	no		PAGE5
PanPan	putative G antigen family E member 3	LOC129395324	56499594	56504829	+	ANCESTRAL	GAGE1	no		PAGE5
PanPan	putative G antigen family E member 3	LOC117977552	56513965	56518089	+	ANCESTRAL	GAGE1	no		PAGE5
PanPan	P antigen family member 5	LOC100973106	56645776	56649645	+	ANCESTRAL	GAGE1	no		PAGE5
PanPan	spindlin-2	LOC100991305	58547714	58549583	-	ANCESTRAL	SPIN2A	no		SPIN2A
PanPan	spindlin-2	LOC100991655	58563365	58571141	-	ANCESTRAL	SPIN2A	no		SPIN2A
PanPan	zinc finger X-linked protein ZXDB	LOC117977599	59045882	59075677	+	ANCESTRAL	ZXDA	no		ZXDA
PanPan	uncharacterized protein CXorf49-like	LOC100988252	71337139	71341552	-	ANCESTRAL	CXorf49B	no		CXorf49
PanPan	uncharacterized protein CXorf49	LOC100987917	71341683	71345668	+	AMPLICONIC	CXorf49B	no		CXorf49
PanPan	uncharacterized protein CXorf49	LOC129395386	71387315	71391252	-	AMPLICONIC	CXorf49B	yes	Q11A	CXorf49
PanPan	uncharacterized LOC129393025	LOC129393025	71391088	71393870	+	AMPLICONIC	CXorf49B	yes	Q11A	PanPan_PanTro_cluster1
PanPan	uncharacterized LOC129395229	LOC129395229	71435463	71438245	-	AMPLICONIC	CXorf49B	yes	Q11B	PanPan_PanTro_cluster1
PanPan	uncharacterized protein CXorf49-like	LOC100991983	71544720	71548479	-	ANCESTRAL	CXorf49B	no		PanPan_cluster1
PanPan	doublesex- and mab-3-related transcription factor C1	LOC117977537	72448781	72519996	+	AMPLICONIC	DMRTC1B	yes	Q12.2A	DMRTC1
PanPan	protein FAM236A	LOC117977539	72452208	72454498	-	AMPLICONIC	FAM236C	yes	Q12.2A	FAM236B
PanPan	protein FAM236A	LOC129395401	72609801	72612111	+	AMPLICONIC	FAM236C	yes	Q12.2B	FAM236B
PanPan	polyadenylate-binding protein 1-like 2	LOC100976163	72673775	72676236	+	AMPLICONIC	PABPC1L2B	yes	Q13A	PABPC1L2B
PanPan	polyadenylate-binding protein 1-like 2	LOC117977691	72742505	72747568	-	AMPLICONIC	PABPC1L2B	no		PABPC1L2B
PanPan	polyadenylate-binding protein 1-like	LOC103787086	74258497	74270617	-	ANCESTRAL	PABPC1L2B	no		PanPan_PanTro_cluster1
PanPan	protein ARMCX6-like	LOC100995474	101194675	101195838	+	ANCESTRAL	ARMCX2	no		GorGor_PanPan_PanTro_PonAbe_PonPyg_SymSyn_cluster1
PanPan	nuclear RNA export factor 5-like	LOC129395341	101426310	101438178	-	ANCESTRAL	NXF2	no		NXF2
PanPan	T-complex protein 11-like X-linked protein 2	LOC103784751	101777586	101789893	+	ANCESTRAL	TCP11X2	no		TCP11X2
PanPan	T-complex protein 11-like X-linked protein 2	LOC100971757	101819780	101853026	+	AMPLICONIC	TCP11X2	yes	Q14A	TCP11X2
PanPan	nuclear RNA export factor 2	LOC100978865	101850372	101931250	+	AMPLICONIC	NXF2	yes	Q14A	NXF2
PanPan	nuclear RNA export factor 2	LOC129395270	101970834	102051703	-	AMPLICONIC	NXF2	yes	Q14B	NXF2
PanPan	T-complex protein 11-like X-linked protein 2	LOC117977629	102070712	102082278	-	AMPLICONIC	TCP11X2	yes	Q14B	TCP11X2
PanPan	nuclear RNA export factor 2-like	LOC100985902	102172300	102182166	+	ANCESTRAL	NXF2	no		NXF2
PanPan	ras-related protein Rab-40A-like	LOC100986445	102327434	102549096	+	ANCESTRAL	RAB40A	no		RAB40A
PanPan	histone H2B type W-T	LOC100969533	103476319	103480863	+	ANCESTRAL	H2BW2	no		H2BW1
PanPan	histone H2B type F-M	LOC100988594	103514862	103516842	-	ANCESTRAL	H2BW2	no		H2BW1_2
PanPan	thymosin beta-15A-like	LOC100969885	103535763	103539729	-	ANCESTRAL	TMSB15B	no		TMSB15A
PanPan	histone H2B type W-T-like	LOC100988917	103544445	103545357	+	ANCESTRAL	H2BW2	no		H2BW2_2
PanPan	thymosin beta-15A-like	LOC100989257	103578179	103581655	-	ANCESTRAL	TMSB15B	no		TMSB15C
PanPan	rhox homeobox family member 2-like	LOC100970694	119543262	119563787	-	AMPLICONIC	RHOXF2B	yes	Q16.6A	RHOXF2
PanPan	rhox homeobox family member 2	LOC117977727	119632427	119651418	+	AMPLICONIC	RHOXF2B	yes	Q16.3B	RHOXF2
PanPan	rhox homeobox family member 2-like	LOC117977849	119698933	119717924	+	AMPLICONIC	RHOXF2B	yes	Q16.4B	RHOXF2
PanPan	cancer/testis antigen 47A-like	LOC117977602	120430460	120432900	-	ANCESTRAL	CT47C1	no		PanPan_PanTro_cluster1
PanPan	cancer/testis antigen 47A	LOC112438439	120435572	120437775	-	ANCESTRAL	CT47C1	no		CT47A4
PanPan	embryonic testis differentiation protein homolog B	LOC117974315	134686671	134687130	+	AMPLICONIC	ETDA	yes	Q17B	ETDB
PanPan	embryonic testis differentiation protein homolog C	LOC112438429	134739150	134755309	+	ANCESTRAL	ETDA	no		PanPan_PanTro_cluster1
PanPan	sarcoma antigen 1-like	LOC100988262	135036192	135057121	+	ANCESTRAL	SAGE1	no		PanPan_PanTro_cluster1
PanPan	putative SAGE1-like protein	LOC100987809	135110339	135123901	-	AMPLICONIC	SAGE1	no		PanPan_PanTro_PonAbe_PonPyg_cluster1
PanPan	sarcoma antigen 1	LOC100979609	135190622	135213328	-	AMPLICONIC	SAGE1	yes	Q18A	SAGE1
PanPan	cancer/testis antigen family 45 member A10	LOC129395284	135210224	135224154	+	AMPLICONIC	CT45A8	yes	Q18A	CT45A3
PanPan	cancer/testis antigen family 45 member A6	LOC129395286	135229608	135240214	+	AMPLICONIC	CT45A8	yes	Q18A	CT45A3
PanPan	cancer/testis antigen family 45 member A6	LOC117977685	135277030	135287296	-	AMPLICONIC	CT45A8	yes	Q18B	CT45A3
PanPan	cancer/testis antigen family 45 member A10	LOC100979948	135292756	135306646	-	AMPLICONIC	CT45A8	yes	Q18B	CT45A3
PanPan	sarcoma antigen 1	LOC129395283	135303576	135326286	+	AMPLICONIC	SAGE1	yes	Q18B	SAGE1
PanPan	putative MAGE domain-containing protein MAGEA13P	LOC100971989	137908157	137909674	+	ANCESTRAL	MAGEB18	no		GorGor_MacFas_PanPan_PanTro_PonAbe_PonPyg_cluster1
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC117978075	140289568	140290905	+	ANCESTRAL	SPANXA1	no		SPANX-B
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC117977632	140509227	140510276	+	ANCESTRAL	SPANXA1	no		PanPan_PanTro_cluster2
PanPan	sperm protein associated with the nucleus on the X chromosome C-like	LOC129395387	141145458	141146508	-	AMPLICONIC	SPANXA1	yes	Q20B	PanPan_PanTro_cluster2
PanPan	melanoma-associated antigen C2	LOC100990150	141639336	141643966	-	ANCESTRAL	MAGEB18	no		MAGEC2
PanPan	sperm protein associated with the nucleus on the X chromosome N4	LOC100989822	142454568	142463888	+	ANCESTRAL	SPANXA1	no		SPANXN4
PanPan	sperm protein associated with the nucleus on the X chromosome N3	LOC100989472	142925795	142934572	-	ANCESTRAL	SPANXA1	no		SPANXN2
PanPan	sperm protein associated with the nucleus on the X chromosome N2	LOC100988022	143123081	143132676	-	ANCESTRAL	SPANXA1	no		SPANXN2
PanPan	sperm protein associated with the nucleus on the X chromosome N2	LOC100991836	144618826	144628323	+	ANCESTRAL	SPANXA1	no		SPANXN1
PanPan	uncharacterized protein CXorf51A	LOC117977597	146131562	146132230	-	AMPLICONIC	CXorf51B	yes	Q21B	CXorf51B
PanPan	uncharacterized protein CXorf51A-like	LOC117977659	146147170	146147686	-	AMPLICONIC	CXorf51B	yes	Q21B	CXorf51B
PanPan	uncharacterized LOC100982139	LOC100982139	148809658	148845481	-	ANCESTRAL	uncharacterized LOC129053094	no		PanPan_cluster1
PanPan	protein EOLA1	LOC100969417	148845647	148855437	+	ANCESTRAL	EOLA1	no		EOLA1
PanPan	heat shock transcription factor, X-linked member 3	LOC129395378	148852867	148854904	-	AMPLICONIC	HSFX3	no		HSFX4
PanPan	melanoma-associated antigen 8	LOC100970690	148886508	148892335	-	AMPLICONIC	MAGEB18	no		MAGEA8
PanPan	melanoma-associated antigen 9-like	LOC129395209	148985837	149055671	-	AMPLICONIC	MAGEB18	no		MAGEA9
PanPan	protein EOLA1	LOC117974216	149055833	149069663	+	AMPLICONIC	EOLA1	no		EOLA1
PanPan	heat shock transcription factor, X-linked member 3	LOC112438732	149063059	149065094	-	AMPLICONIC	HSFX3	no		HSFX4
PanPan	melanoma-associated antigen 8-like	LOC129395389	149098345	149100208	-	AMPLICONIC	MAGEB18	yes	Q22.1A	MAGEA8
PanPan	melanoma-associated antigen 9-like	LOC129395212	149196865	149266700	-	AMPLICONIC	MAGEB18	yes	Q22.1A	MAGEA9
PanPan	protein EOLA1	LOC129392977	149266862	149280692	+	AMPLICONIC	EOLA1	no		EOLA1
PanPan	heat shock transcription factor, X-linked member 3	LOC129395211	149274088	149276123	-	AMPLICONIC	HSFX3	no		HSFX4
PanPan	melanoma-associated antigen 8-like	LOC129395390	149309374	149311237	-	AMPLICONIC	MAGEB18	yes	Q22.3A	MAGEA8
PanPan	melanoma-associated antigen 9-like	LOC129392975	149407890	149414238	-	AMPLICONIC	MAGEB18	yes	Q22.3A	MAGEA9
PanPan	heat shock transcription factor, X-linked	LOC129395251	149414373	149423340	-	AMPLICONIC	HSFX3	yes	Q22.3A	HSFX2
PanPan	melanoma-associated antigen 11	LOC100975369	149513219	149518466	-	AMPLICONIC	MAGEB18	no		MAGEA11
PanPan	melanoma-associated antigen 9	LOC117978218	149591258	149597057	+	AMPLICONIC	MAGEB18	yes	Q22.2B	MAGEA9
PanPan	transmembrane protein 185A-like	LOC129395272	149691459	149697037	+	AMPLICONIC	TMEM185A	no		TMEM185A_2
PanPan	heat shock transcription factor, X-linked	LOC100976508	149697175	149705468	+	AMPLICONIC	HSFX3	yes	Q22.3B	HSFX2
PanPan	melanoma-associated antigen 9	LOC117977650	149706160	149711959	+	AMPLICONIC	MAGEB18	yes	Q22.1B	MAGEA9
PanPan	melanoma-associated antigen 8	LOC129395328	149805428	149811318	+	AMPLICONIC	MAGEB18	yes	Q22.1B	MAGEA8
PanPan	protein EOLA1	LOC129392930	149839727	149853637	-	AMPLICONIC	EOLA1	no		EOLA1
PanPan	heat shock transcription factor, X-linked member 3	LOC117977758	149844560	149846331	+	AMPLICONIC	HSFX3	no		HSFX4
PanPan	melanoma-associated antigen 9	LOC129395206	149916285	149922104	+	AMPLICONIC	MAGEB18	yes	Q22.4B	MAGEA9
PanPan	melanoma-associated antigen 8	LOC117978564	150015553	150021443	+	AMPLICONIC	MAGEB18	yes	Q22.4B	MAGEA8
PanPan	heat shock transcription factor, X-linked member 3	LOC100971024	150065745	150067516	+	AMPLICONIC	HSFX3	no		HSFX4
PanPan	uncharacterized LOC103785494	LOC103785494	150076093	150134472	+	ANCESTRAL	uncharacterized LOC129053094	no		PanPan_cluster1
PanPan	melanoma-associated antigen 10-like	LOC129395376	152740591	152742067	+	AMPLICONIC	MAGEB18	no		PanPan_cluster1
PanPan	melanoma-associated antigen 6	LOC100978819	152756848	152759809	+	AMPLICONIC	MAGEB18	yes	Q24A	MAGEA2
PanPan	chondrosarcoma-associated gene 2/3 protein	LOC100989262	152766372	152772512	-	AMPLICONIC	CSAG1	yes	Q24A	CSAG2
PanPan	melanoma-associated antigen 2	LOC100988708	152774670	152776628	+	AMPLICONIC	MAGEB18	yes	Q24A	MAGEA2
PanPan	chondrosarcoma-associated gene 2/3 protein	LOC117977620	152785470	152786012	-	AMPLICONIC	CSAG1	no		CSAG2
PanPan	melanoma-associated antigen 12	LOC100989838	152788471	152792419	-	AMPLICONIC	MAGEB18	no		MAGEA2
PanPan	chondrosarcoma-associated gene 2/3 protein	LOC117977697	152793720	152798646	+	AMPLICONIC	CSAG1	no		CSAG2
PanPan	chondrosarcoma-associated gene 2/3 protein-like	LOC117977714	152814090	152814743	+	AMPLICONIC	CSAG1	yes	Q24B	CSAG2
PanPan	melanoma-associated antigen 3	LOC117977609	152820950	152824422	-	AMPLICONIC	MAGEB18	yes	Q24B	MAGEA2
PanPan	paraneoplastic antigen-like protein 6B	LOC106634358	153140250	153142833	-	AMPLICONIC	PNMA6E	yes	Q25.1A	PNMA6A
PanPan	PWWP domain-containing DNA repair factor 4-like	LOC117977584	153168661	153179554	-	AMPLICONIC	PWWP4	yes	Q25.2A	PanPan_PanTro_cluster1
PanPan	PWWP domain-containing DNA repair factor 4-like	LOC117977675	153309272	153315634	+	AMPLICONIC	PWWP4	yes	Q25.2B	PanPan_PanTro_cluster1
